organization,service_type,address,city,state,country,postcode,latitude,longitude,public_telephone
Matilda Chew Clinical Psychologist,Clinical psychology service,304 HOWITT STREET,BALLARAT NORTH,VIC,AUS,3350,-37.54344476,143.86070738,
Griffith University Health Centre (Nathan),General practice service,"Griffith University N12 Sewell Building,Level 1,170 Kessels Road",NATHAN,QLD,AUS,4111,-27.555086135864258,153.05322265625,
East Bentleigh Medical Group,Psychology service,873 Centre Road,BENTLEIGH EAST,VIC,AUS,3165,-37.92183,145.06632,
Maria Van Der Linden Dietetic Services,Dietetics service,27 Koornalla Crescent,MOUNT ELIZA,VIC,AUS,3930,-38.18044662475586,145.0763702392578,
Back In Motion Moonee Ponds,Physiotherapy service,672 Mt Alexander Road,MOONEE PONDS,VIC,AUS,3039,-37.76941680908203,144.92588806152344,
Dr K Barchia,Psychology service,"Suite 1,259-365 Barrenjoey Road",NEWPORT,NSW,AUS,2106,-33.6544248,151.3185023,
Dr Nisha Sethi Psychology,Psychology service,60 Albert Road,STRATHFIELD,NSW,AUS,2135,-33.87125015258789,151.0907745361328,
Kalkaringi Primary Health Centre,General practice service,"Lot 125,Libanangu Road",KALKARINDJI,NT,AUS,0852,-17.44542694091797,130.83108520507812,
Balanced Minds Psychology Practice,Psychology service,"The Italian Forum,SUITE 47A,23 NORTON STREET",LEICHHARDT,NSW,AUS,2040,-33.887211,151.1583777,
Edgeworth Medical Centre,Psychology service,22-28 Edgeworth David Avenue,HORNSBY,NSW,AUS,2077,-33.7062873840332,151.10321044921875,
Strive,Neurology service,1 Steere Street,BRIDGETOWN,WA,AUS,6255,-33.95790481567383,116.13775634765625,
Spence Pharmacy,Pharmacy service,"Shop 1,14 16 Glassey Place",SPENCE,ACT,AUS,2615,-35.194828033447266,149.06166076660156,
Allawah Pharmacy,Pharmacy service,450 Railway Parade,ALLAWAH,NSW,AUS,2218,-33.970401763916016,151.11558532714844,
Keating's Pharmacy,Pharmacy service,63 Edgar Street,HEYWOOD,VIC,AUS,3304,-38.13138961791992,141.62979125976562,
Embrace Food,Dietetics service,186 Bay Street,BRIGHTON,VIC,AUS,3186,-37.905189514160156,144.99876403808594,
Alliance Health Clinics,Exercise physiology service,246 Mitcham Road,MITCHAM,VIC,AUS,3132,-37.80527877807617,145.18975830078125,
aPhysio,Physiotherapy service,2 GALBU PLACE,ARANDA,ACT,AUS,2614,-35.26309879,149.07967592,
Surgery 82,General practice service,82 Bussell Hwy,BUSSELTON,WA,AUS,6280,-33.65519,115.33268,
Mungindi Hospital - Dietetics Clinic,Dietetics service,Barwon Street,MUNGINDI,NSW,AUS,2406,-28.977855682373047,148.99468994140625,
Home Hill Health Service,Speech and language therapy service,78 Tenth Avenue,HOME HILL,QLD,AUS,4806,-19.661537170410156,147.4159393310547,
Pelvic Physio,Physiotherapy service,"Suite 2,Ground Floor,25 ARGYLE STREET",HOBART,TAS,AUS,7000,-42.88136751,147.33059441,
Mt Lawley Counselling Centre - Katrina Alilovic,Psychology service,13 Alvan Street,MOUNT LAWLEY,WA,AUS,6050,-31.93375015258789,115.87393951416016,
Preston Medical Specialists,Dietetics service,30 Kenneth Street,PRESTON,VIC,AUS,3072,-37.739994049072266,145.02096557617188,
MALDON HOSPITAL,Physiotherapy service,Chapel Street,MALDON,VIC,AUS,3463,-36.992671966552734,144.0636749267578,
headspace Rockingham,Adult mental health service,"Unit 3,18 Goddard Street",ROCKINGHAM,WA,AUS,6168,-32.2857551574707,115.75078582763672,
Heaths Road Family Clinic,General practice service,241 Heaths Road,WERRIBEE,VIC,AUS,3030,-37.877689361572266,144.67991638183594,
Alicia Thackray - Dietitian,Dietetics service,"UNIT 11,104 CROWN STREET",NORTH WOLLONGONG,NSW,AUS,2500,-34.42508387,150.89688468,
Vital Health - Roma,Dietetics service,20 Quintin Street,ROMA,QLD,AUS,4455,-26.570106506347656,148.78762817382812,
Dr Bridget Bassilios,Psychology service,59 Errol Street,NORTH MELBOURNE,VIC,AUS,3051,-37.80367660522461,144.94918823242188,
Jacare Family Pharmacy,Pharmacy service,14 Brisbane Street,IPSWICH,QLD,AUS,4305,-27.61565399169922,152.76443481445312,
Susan Watson,Mental health service,181-183 Walnut Avenue,MILDURA,VIC,AUS,3500,-34.1858024597168,142.1512908935547,
Diet Yumm - Niddrie,Dietetics service,"First Point Medical,Unit 2,326 Keilor Street",NIDDRIE,VIC,AUS,3042,-37.73690414428711,144.89231872558594,
Eastern Neurology Dr Steven Ng,Neurology service,"Suite 3.06 116,118 Thames Street",BOX HILL,VIC,AUS,3128,-37.812793,145.119844,
MyLife Medical Brookwater General Practice,General practice service,14/2 Tournament Drive,BROOKWATER,QLD,AUS,4300,-27.663597,152.8917252,
St Clair Mediclinic,General practice service,162 Bennett Road,ST CLAIR,NSW,AUS,2759,-33.79533004760742,150.79042053222656,
Motion Physiotherapy EP,Physiotherapy service,66 Bruce Tce,CUMMINS,SA,AUS,5631,-34.263472,135.727028,
Somerville Medical Centre,General practice service,1176 Frankston-flinders Road,SOMERVILLE,VIC,AUS,3912,-38.230201721191406,145.1809844970703,
Belong Health,Occupational therapy service,13 Littleton Street,FALCON,WA,AUS,6210,-32.56865590984633,115.67634062639037,
Acuity Psychological Services - Melbourne CBD,Psychology service,"ACA BUILDING,Level 10 Suite 1B,118 Queen Street",MELBOURNE,VIC,AUS,3000,-37.81565475463867,144.9613037109375,
Sally-Ann E. Gordon Speech Pathologist,Psychology service,18 Rawson Penfold Drive,ROSSLYN PARK,SA,AUS,5072,-34.919708251953125,138.680419921875,
New View Psychology Glenroy,Psychology service,"Level 1,789 Pascoe Vale Road",GLENROY,VIC,AUS,3046,-37.704694,144.915571,
Dr Hui Huang,Psychology service,"Shop 5,17-20 The Esplanade",ASHFIELD,NSW,AUS,2131,-33.88727569580078,151.1237335205078,
Mary Trowbridge Physiotherapy,Physiotherapy service,18 McLachlan Avenue,GLENELG NORTH,SA,AUS,5045,-34.96448516845703,138.5211639404297,
Jacynta Hodges,Psychology service,"Blackburn Specialist Centre,Unit 2,195 - 197 Whitehorse Rd",BLACKBURN,VIC,AUS,3130,-37.817166,145.158453,
Caroline Welsh Physiotherapy,Physiotherapy service,11 SARA STREET,POINT LONSDALE,VIC,AUS,3225,-38.27273114,144.61581963,
headspace Wollongong,Mental health service,7 Atchison Street,WOLLONGONG,NSW,AUS,2500,-34.42662048339844,150.89114379882812,
Healthy Bods Nutrition ,Dietetics service,"Sydney Float Centre,1a Cross Street ",BROOKVALE,NSW,AUS,2100,-33.76562,151.2666,
Pharmacy 777 Baldivis,Pharmacy service,"Stockland Shopping Centre,Shop 43,26 Safety Bay Road",BALDIVIS,WA,AUS,6171,-32.333047,115.816338,
Gundagai Pharmacy,Pharmacy service,170 Sheridan Street,GUNDAGAI,NSW,AUS,2722,-35.06488037109375,148.1053466796875,
Four Seasons Dietetics,Dietetics service,83 CLARENCE STREET,SYDNEY,NSW,AUS,2000,-33.86604953,151.20462458,
headspace Cannington,Mental health service,"SHOP 1,1468 Albany Hwy",CANNINGTON,WA,AUS,6107,-32.026149,115.94403,
Macintosh Physiotherapy,Physiotherapy service,23 MacIntosh Street,FORSTER,NSW,AUS,2428,-32.1842155456543,152.51600646972656,
East Neurology,Neurology service,"Harley Place,Suite 403,251 Oxford Street",BONDI JUNCTION,NSW,AUS,2022,-33.89164352416992,151.25247192382812,
Sheffield Medical Centre,Physiotherapy service,1 Henry Street,SHEFFIELD,TAS,AUS,7306,-41.384605407714844,146.32456970214844,
Sunlander Medical and Dental Centre,General practice service,"Suite 2,10 Sunlander Drive",CURRAMBINE,WA,AUS,6028,-31.724292755126953,115.74701690673828,
Linda Hart,Dietetics service,19 Helen Avenue,ALDINGA,SA,AUS,5173,-35.26927185058594,138.45233154296875,
Blueprint Health,Exercise physiology service,37 Godfrey Terrace,LEABROOK,SA,AUS,5068,-34.927207946777344,138.65599060058594,
Tuncurry Physiotherapy,Physiotherapy service,"Shop 8,25 Manning Street",TUNCURRY,NSW,AUS,2428,-32.174111,152.49939,
Watarrka Health Centre,General practice service,"Kings Canyon,Lot 0001,Watarrka Community",PETERMANN,NT,AUS,0872,-24.243388,131.510374,
Core Nutrition,Dietetics service,"Northwest Medical Centre,1 Park Terrace",SALISBURY,SA,AUS,5108,-34.76420974731445,138.64048767089844,Yes
United Medical Centre Moe,General practice service,5-7 Lloyd Street,MOE,VIC,AUS,3825,-38.177581787109375,146.2639923095703,
TerryWhite Chemmart Hastings,Pharmacy service,47 High Street,HASTINGS,VIC,AUS,3915,-38.30796813964844,145.19139099121094,
Pheonix Centre Guardian Pharmacy,Pharmacy service,"Phoenix Shopping Centre,Shop 35,254 Rockingham Road",SPEARWOOD,WA,AUS,6163,-32.098018646240234,115.78404235839844,
The Specialist Centre Ballarat,Dietetics service,108 Drummond Street,BALLARAT,VIC,AUS,3350,-37.5572395324707,143.84866333007812,
Emotional Growth Psychology Clinic,Mental health service,23 Military Road,AVONDALE HEIGHTS,VIC,AUS,3034,-37.7695352,144.8626178,
In-Balance Physiotherapy And Pilates,Psychology service,"Level 1,233B Charles Street",LAUNCESTON,TAS,AUS,7250,-41.44264221191406,147.14141845703125,
Epic OT,Occupational therapy service,"Unit 1,12 Jillian Avenue",HIGHETT,VIC,AUS,3190,-37.9477424621582,145.0239715576172,
Robinson Psychology,Psychology service,BALLARAT STREET,YARRAVILLE,VIC,AUS,3013,-37.81867551,144.8905343,
Tuart Family Practice,Occupational therapy service,"Unit 6,600 Baldivis Road",BALDIVIS,WA,AUS,6171,-32.33000183105469,115.81999969482422,
Pioneer Medical Centre,General practice service,1291A North East Road,TEA TREE GULLY,SA,AUS,5091,-34.820247650146484,138.72018432617188,
Theodore Home And Community Care,Occupational therapy service,1 Dawson Avenue,THEODORE,QLD,AUS,4719,-24.948266983032227,150.0737762451172,
Eden Discount Pharmacy,Pharmacy service,136-138 Imlay Street,EDEN,NSW,AUS,2551,-37.06488800048828,149.9065399169922,
AIM Health Melbourne Student Medical Centre,Dietetics service,"Level 1,253 Lonsdale St",MELBOURNE,VIC,AUS,3000,-37.811677,144.965107,
Campbelltown Private Hospital,Physical and rehabilitation medicine service,42 Parkside Crescent,CAMPBELLTOWN,NSW,AUS,2560,-34.0755615234375,150.80496215820312,
Intalink Therapy Solutions - Taree,Occupational therapy service,5 MacQuarie Street,TAREE,NSW,AUS,2430,-31.910671,152.46353,
Dr Vikki Wymer,General practice service,47 NANIMA STREET,EUGOWRA,NSW,AUS,2806,-33.43177063,148.37000484,
Doctors of Lalor Plus,Psychology service,1 May Road,LALOR,VIC,AUS,3075,-37.67441940307617,145.0166778564453,
Temora Medical Complex,General practice service,296 Hoskins Street,TEMORA,NSW,AUS,2666,-34.45130157470703,147.53521728515625,
Uraidla Cottage Pharmacy,Pharmacy service,1186 Greenhill Road,URAIDLA,SA,AUS,5142,-34.956199645996094,138.7449951171875,
Dandenong Emg Service,Neurology service,"Suite 4,118-120 David Street",DANDENONG,VIC,AUS,3175,-37.97770690917969,145.2196502685547,
Jayne L Wells Psychologist,Psychology service,31 Denison Road,LEWISHAM,NSW,AUS,2049,-33.895450592041016,151.14764404296875,
Cabramatta John Street Medical Complex,Psychology service,"Shop 1-3,117 John Street",CABRAMATTA,NSW,AUS,2166,-33.89451599121094,150.93408203125,
Nexus Clinical and Forensic Psychology,Psychology service,"Nexus Norwest,Level 5,4 Columbia Court",BAULKHAM HILLS,NSW,AUS,2153,-33.7310791015625,150.969482421875,
Nangare Support Service,Mental health service,83 Burdett Street,HORNSBY,NSW,AUS,2077,-33.703617095947266,151.11061096191406,
CityCare Doctors @ Wintergarden,General practice service,"Lower Ground Floor,Shop 2,171 Queen Street",BRISBANE CITY,QLD,AUS,4000,-27.469418,153.026611,
McLaren Occupational Therapy,Occupational therapy service,14 Mulholland Crescent,GROVEDALE,VIC,AUS,3216,-38.21257019042969,144.3167724609375,
Wendy McLean Psychology,Psychology service,"Shop 8,16 Bosworth Street",RICHMOND,NSW,AUS,2753,-33.595367431640625,150.74847412109375,
Psych Response,Psychology service,"Suite 6,8 McFarlane Street",MERRYLANDS,NSW,AUS,2160,-33.83589553833008,150.99044799804688,
McGregor Gardens Aged Care,Palliative medicine service,"Mcgregor Gardens,11 McGregor Road",PAKENHAM,VIC,AUS,3810,-38.07578659057617,145.4751739501953,
Bentleigh Natural Medicine,Physiotherapy service,40 Patterson Road,BENTLEIGH,VIC,AUS,3204,-37.92537517879318,145.03112709386562,
Ruth Barrett-Lennard,Psychology service,"The Port Counselling Centre,12 Mouat Street",FREMANTLE,WA,AUS,6160,-32.054931640625,115.7433853149414,
SOS Physiotherapy Earlwood,Physiotherapy service,15 Lewins Street,EARLWOOD,NSW,AUS,2206,-33.925357818603516,151.123779296875,
Baby Wise Physiotherapy,Physiotherapy service,391 Crown St,WOLLONGONG,NSW,AUS,2500,-34.42555,150.884036,
Dr Won-Huyn Baik Surgery,General practice service,"Level 1,157-159 BEAMISH STREET",CAMPSIE,NSW,AUS,2194,-33.90853472,151.10395085,
Coomera City Centre Chempro Chemist,Pharmacy service,"Coomera City Centre,T13,1 Commercial Street",UPPER COOMERA,QLD,AUS,4209,-27.85017742,153.30176193,
Rylstone Multi Purpose Service Physiotherapy Service,Physiotherapy service,16 Fitzgerald Street,RYLSTONE,NSW,AUS,2849,-32.803497314453125,149.97503662109375,
Cherie McLean Speech Pathologist,Speech and language therapy service,27 Jenkens Street,FRANKSTON NORTH,VIC,AUS,3200,-38.125953674316406,145.15586853027344,
Barry Kerr and Associates,Psychology service,12 Aldinga Place,MOOLOOLABA,QLD,AUS,4557,-26.685335159301758,153.11093139648438,
EP net - Exercise Physiology,Exercise physiology service,"Planet Fitness Lambton,Turton Road",LAMBTON,NSW,AUS,2299,-32.91542053222656,151.72549438476562,
Toongabbie Family Practice,General practice service,52 Aurelia St,TOONGABBIE,NSW,AUS,2146,-33.788691,150.949617,
Maranoa Physiotherapy,Physiotherapy service,"Roma Therapeutics,133A MCDOWALL STREET",ROMA,QLD,AUS,4455,-26.57090706,148.78648256,
Bogie Physio,Speech and language therapy service,18 Clifton Street,EUROA,VIC,AUS,3666,-36.755489349365234,145.5716094970703,
iCare Pharmacy Brighton,Pharmacy service,126 Martin Street,BRIGHTON,VIC,AUS,3186,-37.89748001098633,145.0032958984375,
Magnusson & Associates,Psychology service,"Rugosa,354 Fingerboard Road",YAMBUK,VIC,AUS,3285,-38.32245635986328,142.1165008544922,
North Road Medical - Oakleigh,General practice service,1131 North Road,OAKLEIGH,VIC,AUS,3166,-37.90936279296875,145.08641052246094,
headspace Mandurah,Mental health service,91 Allnutt St,MANDURAH,WA,AUS,6210,-32.528174,115.742667,
headspace Echuca,Mental health service,451 High St,ECHUCA,VIC,AUS,3564,-36.126937,144.747227,
"Ryan Peace, Psychologist",Psychology service,22 North Road,WARRAGUL,VIC,AUS,3820,-38.156249,145.950196,
Scribble Children's Therapy,Occupational therapy service,1042 WESTERN HIGHWAY,CAROLINE SPRINGS,VIC,AUS,3023,-37.75783612,144.74555457,
Cockatoo Family Medical Practice,General practice service,"Shop 1,54 McBride Street",COCKATOO,VIC,AUS,3781,-37.936092376708984,145.49282836914062,
Scarborough Beach Pharmacy,Pharmacy service,241 West Coast Highway,SCARBOROUGH,WA,AUS,6019,-31.89571189880371,115.75740814208984,
The Geelong Clinic,Adult mental health service,98 Townsend Road,ST ALBANS PARK,VIC,AUS,3219,-38.18244171142578,144.3933868408203,
Adaptive Health,Exercise physiology service,57 PRINCES HIGHWAY,DAPTO,NSW,AUS,2530,-34.49410122,150.79460444,
AIM Therapy for Children,Occupational therapy service,"Grange Physiotherapy,8 Goddard Street",ROCKINGHAM,WA,AUS,6168,-32.28738784790039,115.7509994506836,
The Physio Movement Yamba,Physiotherapy service,"Unit 10,5 NEPTUNE PLACE",YAMBA,NSW,AUS,2464,-29.4404398,153.34848123,
Amcal Plus Cornwall Street,Pharmacy service,"4 L,20 Cornwall Street",WOOLLOONGABBA,QLD,AUS,4102,-27.4997851,153.0304317,
Jillian Hawker - Dietitian,Dietetics service,7 Gertrude Street,WINDSOR,VIC,AUS,3181,-37.854957580566406,144.9966278076172,
Quality Psychological and Counselling Consulting,Psychology service,"Suite 4,1 Summerford Road",ABERFOYLE PARK,SA,AUS,5159,-35.0620002746582,138.5958709716797,
Banana Mental Health Team,Mental health service,"Biloela Hospital Campus,Hospital Road",BILOELA,QLD,AUS,4715,-24.396394729614258,150.51681518554688,
One Central Health,Occupational therapy service,"Unit 9,752 North Lake Road",SOUTH LAKE,WA,AUS,6164,-32.115637,115.838034,
Healthsave West Wyalong Pharmacy,Pharmacy service,29 Ungarie Road,WEST WYALONG,NSW,AUS,2671,-33.91957226,147.1977309,
Discount Drug Store Warana,Pharmacy service,"Shop 5,179 Nicklin Way",WARANA,QLD,AUS,4575,-26.719179153442383,153.13018798828125,
Chemist Warehouse - Port Adelaide,Pharmacy service,"Port Mall Shopping Centre,168-180 St Vincent Street",PORT ADELAIDE,SA,AUS,5015,-34.84551239013672,138.50454711914062,
Dr Linda Ford - Tarwin Lower,General practice service,Confidential Address,TARWIN LOWER,VIC,AUS,3956,-38.7373186899946,145.909315805409,
Optimal Health Medical Centre Rhodes Central,General practice service,"Shop 211A,6 Walker Street",RHODES,NSW,AUS,2138,-33.83023666,151.08606024,
Labrador Park Medical Centre,Physiotherapy service,"Labrador Park Shopping Centre,100 Brisbane Road",LABRADOR,QLD,AUS,4215,-27.93614959716797,153.39732360839844,
The Clinic Tahmoor,General practice service,87 Remembrance Drive,TAHMOOR,NSW,AUS,2573,-34.21976089477539,150.5942840576172,
Plexus Medical & Cosmetic,Psychology service,663 CHAPEL STREET,SOUTH YARRA,VIC,AUS,3141,-37.83639693,144.99591936,
Cloncurry Community Health,Mental health service,Daintree Street,CLONCURRY,QLD,AUS,4824,-20.704341888427734,140.50404357910156,
Roy Laube,Psychology service,52 Redmyre Road,STRATHFIELD,NSW,AUS,2135,-33.87471008300781,151.0885467529297,
Anthony Younan - Dietitian,Dietetics service,1 May Road,LALOR,VIC,AUS,3075,-37.674415588378906,145.01663208007812,Yes
Caligem Health,General practice service,"Imperial Centre,Shop 159-162b,171 Mann Street",GOSFORD,NSW,AUS,2250,-33.425594329833984,151.34341430664062,
Activate Health & FItness,Physiotherapy service,388 Queen Street,BRISBANE CITY,QLD,AUS,4000,-27.465845108032227,153.0295867919922,
Nikki Grant Life Choices,Psychology service,"The Yoga Place,6 Mitti Street",BLACKSMITHS,NSW,AUS,2281,-33.07843780517578,151.65003967285156,
Saint Mary Medical Centre,Speech and language therapy service,51 Brantome Street,GISBORNE,VIC,AUS,3437,-37.488868,144.589611,
Erica Usher,Psychology service,24 Richardson Street,WEST PERTH,WA,AUS,6005,-31.948928833007812,115.84024047851562,
Dr Ronald Joffe,Neurology service,"Berry Road Medical Centre,10,1A Berry Road",ST LEONARDS,NSW,AUS,2065,-33.824642181396484,151.19200134277344,
Eastern Health Community Health (Yarra Valley Community Health - Yarra Junction),Physiotherapy service,2475 Warburton Highway,YARRA JUNCTION,VIC,AUS,3797,-37.7815055847168,145.615478515625,
Ruth Rosalion - Psychologist,Psychology service,"Suite 110,55 Whitehorse Road",BALWYN,VIC,AUS,3103,-37.81061553955078,145.06488037109375,
Banksia Health Care,Psychology service,135 MCKENZIE STREET,WONTHAGGI,VIC,AUS,3995,-38.59605267,145.59163192,
Dr Lokesh Garg,General practice service,128 Spencer Street,SOUTH BUNBURY,WA,AUS,6230,-33.33942794799805,115.63996887207031,
Alphington Medical Centre,General practice service,29-31 Station Street,FAIRFIELD,VIC,AUS,3078,-37.782527923583984,145.01791381835938,
Eric Briggs Clinical Psychology,Psychology service,"Armidale Business Centre,1 Cinders Lane",ARMIDALE,NSW,AUS,2350,-30.5140323638916,151.66575622558594,
The Practice Psychology ,Psychology service,48 BROWNS ROAD,KINGSTON,TAS,AUS,7050,-42.9694589,147.3136897,
Gilburn Centre,Occupational therapy service,"Granitehill Aged Care,36 Kennedy Street",EUROA,VIC,AUS,3666,-36.76015853881836,145.57003784179688,
Bulli Medical Practice,Physiotherapy service,74 Park Road,BULLI,NSW,AUS,2516,-34.33341979980469,150.91432189941406,
Broadening Horizons,Adult mental health service,493 Charles Street,NORTH PERTH,WA,AUS,6006,-31.917917251586914,115.84851837158203,
Advantage Healthpoint,General practice service,46 Nicholson St,BAIRNSDALE,VIC,AUS,3875,-37.824438,147.631068,
Myhealth Eastland,General medical service,"Eastland Shopping Centre,Level 3, Town Centre Level, Shop 3003,171-175 Maroondah Highway",RINGWOOD,VIC,AUS,3134,-37.81275177001953,145.22882080078125,
Ingleburn Village Medical Centre,Dietetics service,"Suite 23,100 MacQuarie Road",INGLEBURN,NSW,AUS,2565,-33.99665069580078,150.8666534423828,
Mind and Soul Psychology - Frankston,Psychology service,"Let's Get Better,32 Young Street",FRANKSTON,VIC,AUS,3199,-38.142250061035156,145.12567138671875,
Swift Street Medical Centre,Physiotherapy service,53 Swift Street,WELLINGTON,NSW,AUS,2820,-32.55413818359375,148.9455108642578,
Town Hall Clinic,General practice service,"Level 4 ,50 York Street",SYDNEY,NSW,AUS,2000,-33.86955642700195,151.20643615722656,
Gagan Sandhu,Dietetics service,2 HAMMOCK DRIVE,DOREEN,VIC,AUS,3754,-37.6043181,145.11781667,
Seer Medical - Gold Coast,Neurology service,"Spine and Body Centre of Allied Health,116-118 BUNDALL ROAD",BUNDALL,QLD,AUS,4217,-28.00376033,153.41310556,
Higgins Health Psychology,Psychology service,75-79 CHETWYND STREET,NORTH MELBOURNE,VIC,AUS,3051,-37.80422107,144.95198749,
My Chemist - Estella,Pharmacy service,31 Avocet Drive,ESTELLA,NSW,AUS,2650,-35.07493591308594,147.35353088378906,
Pauline Orbach,Dietetics service,Corner Sage and Sunshine Avenue,KEALBA,VIC,AUS,3021,-37.746070861816406,144.82908630371094,
Dr David Mann Dietetics - Bankstown,Dietetics service,"Bankstown Hospital Medical Centre,Suite 3,68 Eldridge Road",BANKSTOWN,NSW,AUS,2200,-33.93313217163086,151.02084350585938,
Dr Lillian Chizik - Cabrini Rehabilitation,Physical and rehabilitation medicine service,"Cabrini Hospital,494 Glen Huntly Road",ELSTERNWICK,VIC,AUS,3185,-37.8861198425293,145.00921630859375,
Wesley Mission Queensland,Mental health service,"Kingston East Neighbourhood Group,177 Meakin Road",SLACKS CREEK,QLD,AUS,4127,-27.64711,153.13614,
Insight psychology,Psychology service,"Ground Level,361A Buckley Street",ESSENDON,VIC,AUS,3040,-37.754828,144.896175,
Doctors Care Clinic,Mental health service,157 Scoresby Road,BORONIA,VIC,AUS,3155,-37.85557174682617,145.26922607421875,
Healthbound Family Practice,General practice service,144 East Boundary Road,BENTLEIGH EAST,VIC,AUS,3165,-37.9221516,145.0571624,
North Coburg Medical Centre,Dietetics service,"Level 1,11 Orvieto Street",COBURG NORTH,VIC,AUS,3058,-37.7210807800293,144.9599151611328,
Yarram and District Health Service - Yarram,Dietetics service,85-91 Commercial Road,YARRAM,VIC,AUS,3971,-38.55698013305664,146.67819213867188,
Marlin Coast Amcal Pharmacy,Pharmacy service,"Campus Shopping Village,Shop 1-2,MacGregor Road",SMITHFIELD,QLD,AUS,4878,-16.82018280029297,145.69454956054688,
Best Brains and Minds,Mental health service,"SUITE 8,21 HUNTER STREET",HORNSBY,NSW,AUS,2077,-33.70349937,151.10023015,
Spectrum House - Ringwood,Psychology service,"Level 1 Suite 1,50 New Street",RINGWOOD,VIC,AUS,3134,-37.81580848,145.22003615,
Research Pharmacy,Pharmacy service,"Shop 8,1540 Main Road",RESEARCH,VIC,AUS,3095,-37.70400619506836,145.18023681640625,
Melbourne Hand Rehab - Croydon,Occupational therapy service,407 Dorset Road,CROYDON,VIC,AUS,3136,-37.80888366699219,145.2899627685547,
